category,name,mrp,discount_pct_raw,available_qty,discounted_price,weight_g,out_of_stock,qty,discount_amount,discount_pct,total_revenue_raw,price_per_gms,mrp_bucket,weight_kg,discounted_price_calc,total_revenue_calc
Fruits & Vegetables,Onion,2500,16,3,2100,1000,FALSE,1,400,0.6,1000,2.1,Medium,1,2100,2100
Fruits & Vegetables,Tomato Hybrid,4200,16,3,3500,1000,FALSE,1,700,0.8,1000,3.5,High,1,3500,3500
Fruits & Vegetables,Tender Coconut,5100,15,3,4300,58,FALSE,1,800,1,58,74.14,High,0.058,4300,4300
Fruits & Vegetables,Coriander Leaves,2000,15,3,1700,100,FALSE,100,300,1,10000,17,Medium,0.1,1700,170000
Fruits & Vegetables,Ladies Finger ,1400,14,3,1200,250,FALSE,250,200,0.8,62500,4.8,Low,0.25,1200,300000
Fruits & Vegetables,Potato,3500,17,3,2900,1000,FALSE,1,600,0.7,1000,2.9,Medium,1,2900,2900
Fruits & Vegetables,Lemon,7500,16,3,6300,200,FALSE,200,1200,1,40000,31.5,High,0.2,6300,1260000
Fruits & Vegetables,Watermelon ,5800,15,3,4900,58,FALSE,1,900,1,58,84.48,High,0.058,4900,4900
Fruits & Vegetables,Capsicum Green ,2300,17,3,1900,250,FALSE,250,400,0.9,62500,7.6,Medium,0.25,1900,475000
Fruits & Vegetables,Chilli Green ,1900,15,3,1600,100,FALSE,100,300,0.9,10000,16,Low,0.1,1600,160000
Fruits & Vegetables,Banana Robusta,2900,17,3,2400,348,FALSE,6,500,0.9,2088,6.9,Medium,0.348,2400,14400
Fruits & Vegetables,Garlic Indian ,1100,18,3,900,100,FALSE,100,200,0.9,10000,9,Low,0.1,900,90000
Fruits & Vegetables,Cauliflower,2600,15,3,2200,58,FALSE,1,400,1,58,37.93,Medium,0.058,2200,2200
Fruits & Vegetables,Ginger,1400,14,3,1200,200,FALSE,200,200,0.9,40000,6,Low,0.2,1200,240000
Fruits & Vegetables,Spinach,1900,15,3,1600,250,FALSE,250,300,0.9,62500,6.4,Low,0.25,1600,400000
Fruits & Vegetables,Muskmelon,4200,16,3,3500,58,FALSE,1,700,1,58,60.34,High,0.058,3500,3500
Fruits & Vegetables,Cabbage ,1500,13,3,1300,58,FALSE,1,200,1,58,22.41,Low,0.058,1300,1300
Fruits & Vegetables,Methi,3000,16,3,2500,250,FALSE,250,500,0.9,62500,10,Medium,0.25,2500,625000
Fruits & Vegetables,Broccoli,3600,16,3,3000,500,FALSE,500,600,0.9,250000,6,Medium,0.5,3000,1500000
Fruits & Vegetables,Sapota,3000,16,3,2500,348,FALSE,6,500,0.9,2088,7.18,Medium,0.348,2500,15000
Fruits & Vegetables,Onion,6800,16,3,5700,3000,FALSE,3,1100,0.6,9000,1.9,High,3,5700,17100
Fruits & Vegetables,Potato,10000,16,3,8400,3000,FALSE,3,1600,0.7,9000,2.8,High,3,8400,25200
Fruits & Vegetables,Orange Nagpur,8200,15,3,6900,232,FALSE,4,1300,1,928,29.74,High,0.232,6900,27600
Fruits & Vegetables,Mint Leaves ,1100,18,3,900,100,FALSE,100,200,0.9,10000,9,Low,0.1,900,90000
Fruits & Vegetables,Beans French,3300,15,3,2800,250,FALSE,250,500,0.9,62500,11.2,Medium,0.25,2800,700000
Fruits & Vegetables,Bottle Gourd ,2600,15,3,2200,58,FALSE,1,400,1,58,37.93,Medium,0.058,2200,2200
Fruits & Vegetables,Banana Elaichi ,5800,15,3,4900,348,FALSE,6,900,0.9,2088,14.08,High,0.348,4900,29400
Fruits & Vegetables,Coconut Big,3600,16,3,3000,58,FALSE,1,600,1,58,51.72,Medium,0.058,3000,3000
Fruits & Vegetables,Curry Leaves,1300,15,3,1100,50,FALSE,50,200,1,2500,22,Low,0.05,1100,55000
Fruits & Vegetables,Brinjal Bharta,1900,15,3,1600,58,FALSE,1,300,1,58,27.59,Low,0.058,1600,1600
Fruits & Vegetables,Lettuce Iceberg,2500,16,3,2100,250,FALSE,250,400,0.9,62500,8.4,Medium,0.25,2100,525000
Fruits & Vegetables,Papaya,5400,16,3,4500,58,FALSE,1,900,1,58,77.59,High,0.058,4500,4500
Fruits & Vegetables,Apple Shimla,14200,16,3,11900,232,FALSE,4,2300,1,928,51.29,High,0.232,11900,47600
Fruits & Vegetables,Bitter Gourd,1800,16,3,1500,250,FALSE,250,300,0.9,62500,6,Low,0.25,1500,375000
Fruits & Vegetables,Brinjal Small,1800,16,3,1500,250,FALSE,250,300,0.9,62500,6,Low,0.25,1500,375000
Fruits & Vegetables,Sweet Corn,3600,16,3,3000,116,FALSE,2,600,1,232,25.86,Medium,0.116,3000,6000
Fruits & Vegetables,Spring Onion ,1800,16,3,1500,250,FALSE,250,300,0.9,62500,6,Low,0.25,1500,375000
Fruits & Vegetables,Bell Peppers Red & Yellow ,11800,16,3,9900,116,FALSE,2,1900,1,232,85.34,High,0.116,9900,19800
Fruits & Vegetables,Pomegranate ,10600,16,3,8900,116,FALSE,2,1700,1,232,76.72,High,0.116,8900,17800
Fruits & Vegetables,Sweet Lime,3000,16,3,2500,116,FALSE,2,500,1,232,21.55,Medium,0.116,2500,5000
Fruits & Vegetables,Baby Potato,1900,15,3,1600,500,FALSE,500,300,0.7,250000,3.2,Low,0.5,1600,800000
Fruits & Vegetables,Coccinia,3200,15,3,2700,250,FALSE,250,500,0.9,62500,10.8,Medium,0.25,2700,675000
Fruits & Vegetables,Guava,5400,16,3,4500,232,FALSE,4,900,1,928,19.4,High,0.232,4500,18000
Fruits & Vegetables,Apple Washington,17700,15,3,14900,232,FALSE,4,2800,1,928,64.22,High,0.232,14900,59600
Fruits & Vegetables,Amla,3200,15,3,2700,250,FALSE,250,500,0.9,62500,10.8,Medium,0.25,2700,675000
Fruits & Vegetables,Beans Cluster,3000,16,3,2500,250,FALSE,250,500,0.9,62500,10,Medium,0.25,2500,625000
Fruits & Vegetables,Apple Royal Gala,18900,15,3,15900,232,FALSE,4,3000,1,928,68.53,High,0.232,15900,63600
Fruits & Vegetables,Chilli Bhaji,3000,16,3,2500,250,FALSE,250,500,0.9,62500,10,Medium,0.25,2500,625000
Fruits & Vegetables,Lettuce Green,2300,17,3,1900,100,FALSE,100,400,1,10000,19,Medium,0.1,1900,190000
Fruits & Vegetables,Baby Corn Peeled,3500,17,3,2900,250,FALSE,250,600,0.9,62500,11.6,Medium,0.25,2900,725000
Fruits & Vegetables,Mixed Sprouts,3500,17,3,2900,200,FALSE,200,600,0.9,40000,14.5,Medium,0.2,2900,580000
Fruits & Vegetables,Zucchini Green,3500,17,3,2900,250,FALSE,250,600,0.9,62500,11.6,Medium,0.25,2900,725000
Fruits & Vegetables,Beans Broad,4200,16,3,3500,250,FALSE,250,700,0.9,62500,14,High,0.25,3500,875000
Fruits & Vegetables,Raw Banana,2000,15,6,1700,500,FALSE,500,300,0.8,250000,3.4,Medium,0.5,1700,850000
Fruits & Vegetables,Colocasia ,2900,17,6,2400,500,FALSE,500,500,0.8,250000,4.8,Medium,0.5,2400,1200000
Fruits & Vegetables,Tomato Cherry ,3500,17,3,2900,200,FALSE,200,600,0.9,40000,14.5,Medium,0.2,2900,580000
Fruits & Vegetables,Sweet Potato ,3800,15,3,3200,500,FALSE,500,600,0.9,250000,6.4,Medium,0.5,3200,1600000
Fruits & Vegetables,Pineapple Slice,8900,15,3,7500,200,FALSE,200,1400,1,40000,37.5,High,0.2,7500,1500000
Fruits & Vegetables,Orange,5400,16,3,4500,116,FALSE,2,900,1,232,38.79,High,0.116,4500,9000
Fruits & Vegetables,Dragon Fruit Imported,7000,15,3,5900,58,FALSE,1,1100,1,58,101.72,High,0.058,5900,5900
Fruits & Vegetables,Zucchini Yellow,4200,16,3,3500,250,FALSE,500,700,0.9,125000,14,High,0.25,3500,1750000
Fruits & Vegetables,Apple Kinnaur,14200,16,6,11900,232,FALSE,4,2300,1,928,51.29,High,0.232,11900,47600
Fruits & Vegetables,Pineapple,9400,15,3,7900,58,FALSE,1,1500,1,58,136.21,High,0.058,7900,7900
